evaluation_round,question_number,question,options,correct_answer_key,correct_answer_text,etrag_predicted_key,is_correct,etrag_confidence,etrag_success,response_time_sec,source_files,etrag_answer
5,1,Which protein is considered a hallmark of Alzheimer’s disease (AD) pathology?,A. α-synuclein | B. Amyloid-beta (Aβ) | C. Huntingtin | D. Dopamine,B,Amyloid-beta (Aβ),B,True,0.7537,True,4.0,2023-oxidative-damage-in-neurodegeneration-roles-in-the-pathogenesis-and-progression-of-alzheimer-disease.pdf | 2024 Advancements and Challenges in Antiamyloid Therapy for.pdf | 2024 Cell type-specific roles of APOE4 in Alzheimer disease.pdf | 2024 Neuroinflammation in Alzheimer disease.pdf | alzheimer disease  2021.pdf,"B. Amyloid-beta (Aβ) is considered a hallmark of Alzheimer’s disease (AD) pathology, characterized by the presence of β-amyloid-containing plaques and tau-containing neurofibrillary tangles (Alzheimer disease, 2021)."
5,2,What type of sleep disorder is commonly associated with increased AD risk?,A. Narcolepsy | B. Insomnia | C. Obstructive sleep apnea (OSA) | D. Sleepwalking,C,Obstructive sleep apnea (OSA),C,True,0.7354,True,6.16,2023-oxidative-damage-in-neurodegeneration-roles-in-the-pathogenesis-and-progression-of-alzheimer-disease.pdf | 2024 Advancements and Challenges in Antiamyloid Therapy for.pdf | 2024 Cell type-specific roles of APOE4 in Alzheimer disease.pdf | 2024 Immune Activation in Alzheimer Disease.pdf | 2024 Linking activity dyshomeostasis and sleep disturbances in Alzheimer disease.pdf | 2024 Neuroinflammation in Alzheimer disease.pdf | 2025 Updates on mouse models of Alzheimer’s disease.pdf | alzheimer disease  2021.pdf,"C. Obstructive sleep apnea (OSA) is commonly associated with increased AD risk. Sleep disturbances, including OSA, are linked to cognitive decline and are prevalent in individuals with Alzheimer disease (AD), contributing to the overall risk of developing the condition (Linking activity dyshomeostasis and sleep disturbances in Alzheimer disease, 2024)."
5,3,Which imaging modality was first introduced to visualize brain amyloid in AD?,A. CT | B. MRI | C. Aβ-PET | D. SPECT,C,Aβ-PET,C,True,0.753,True,4.61,2023-oxidative-damage-in-neurodegeneration-roles-in-the-pathogenesis-and-progression-of-alzheimer-disease.pdf | 2024 Advancements and Challenges in Antiamyloid Therapy for.pdf | 2024 Immune Activation in Alzheimer Disease.pdf | 2024 Neuroinflammation in Alzheimer disease.pdf | 2025 Updates on mouse models of Alzheimer’s disease.pdf | alzheimer disease  2021.pdf,"C. Aβ-PET

The introduction of Aβ-PET imaging in 2004 clarified the roles of FDG-PET and MRI in evaluating patients with cognitive impairment, marking it as the first imaging modality specifically used to visualize brain amyloid in Alzheimer disease (AD) (Alzheimer disease, 2021)."
5,4,Which gut-related intervention shows potential for AD treatment?,A. Probiotics | B. Vitamin D | C. Antibiotics | D. Statins,A,Probiotics,A,True,0.7421,True,3.37,2023-oxidative-damage-in-neurodegeneration-roles-in-the-pathogenesis-and-progression-of-alzheimer-disease.pdf | 2024 Advancements and Challenges in Antiamyloid Therapy for.pdf | 2024 Immune Activation in Alzheimer Disease.pdf | 2024 Neuroinflammation in Alzheimer disease.pdf | 2025 Updates on mouse models of Alzheimer’s disease.pdf | Recent advances in Alzheimer’s disease mechanisms clinical trials and new drug development strategies.pdf | alzheimer disease  2021.pdf,"A. Probiotics

Probiotics, specifically Bifidobacterium and Lactobacillus species, have shown potential in improving blood-brain barrier integrity and memory deficits in mouse models of Alzheimer's disease (AD) after antibiotic-induced microbiome depletion (Neuroinflammation in Alzheimer disease, 2024)."
5,5,What is the typical spacing used in the Tallapoosa tract for loblolly pine?,A. 4x4 ft | B. 6x6 ft | C. 6x12 ft | D. 8x10 ft,NOT_COVERED,Not Covered,NOT_COVERED,True,0.92,True,2.8,2023-oxidative-damage-in-neurodegeneration-roles-in-the-pathogenesis-and-progression-of-alzheimer-disease.pdf | 2024 Advancements and Challenges in Antiamyloid Therapy for.pdf | 2024 Cell type-specific roles of APOE4 in Alzheimer disease.pdf | 2024 Immune Activation in Alzheimer Disease.pdf | 2024 Linking activity dyshomeostasis and sleep disturbances in Alzheimer disease.pdf | 2025 Updates on mouse models of Alzheimer’s disease.pdf | Recent advances in Alzheimer’s disease mechanisms clinical trials and new drug development strategies.pdf | alzheimer disease  2021.pdf,Not covered.
5,6,The A-T-N biomarker framework includes tau as which letter?,A. A | B. T | C. N | D. None,B,T,B,True,0.7464,True,3.23,2023-oxidative-damage-in-neurodegeneration-roles-in-the-pathogenesis-and-progression-of-alzheimer-disease.pdf | 2024 Advancements and Challenges in Antiamyloid Therapy for.pdf | 2024 Cell type-specific roles of APOE4 in Alzheimer disease.pdf | 2024 Immune Activation in Alzheimer Disease.pdf | 2024 Neuroinflammation in Alzheimer disease.pdf | 2025 Updates on mouse models of Alzheimer’s disease.pdf | alzheimer disease  2021.pdf,"B. T  
The A-T-N biomarker framework includes tau as the letter T, representing abnormal tau protein. This framework classifies individuals in the Alzheimer's disease spectrum by combining amyloid (A), tau (T), and neurodegeneration (N) biomarkers (Alzheimer disease, 2021)."
5,7,Which age group is most at risk for cognitive disorders–associated AD?,A. <40 years | B. 40–65 years | C. 65–90 years | D. >90 years,D,>90 years,C,False,0.748,True,3.29,2023-oxidative-damage-in-neurodegeneration-roles-in-the-pathogenesis-and-progression-of-alzheimer-disease.pdf | 2024 Linking activity dyshomeostasis and sleep disturbances in Alzheimer disease.pdf | 2024 Neuroinflammation in Alzheimer disease.pdf | 2025 Updates on mouse models of Alzheimer’s disease.pdf | alzheimer disease  2021.pdf,"C. 65–90 years

The prevalence of overt cognitive impairment increases exponentially with advancing age, particularly after 65 years, with the incidence of all-cause dementia rising steeply in this age group (Alzheimer disease, 2021). Additionally, the fastest-growing demographic segment at risk for cognitive disorders is the oldest-old group (people aged >90 years) (Alzheimer disease, 2021)."
5,8,Which sleep stage is critical for metabolite clearance from the brain?,A. REM sleep | B. NREM sleep | C. Light sleep | D. Awake state,B,NREM sleep,B,True,0.7353,True,3.28,2023-oxidative-damage-in-neurodegeneration-roles-in-the-pathogenesis-and-progression-of-alzheimer-disease.pdf | 2024 Advancements and Challenges in Antiamyloid Therapy for.pdf | 2024 Immune Activation in Alzheimer Disease.pdf | 2024 Linking activity dyshomeostasis and sleep disturbances in Alzheimer disease.pdf | 2025 Updates on mouse models of Alzheimer’s disease.pdf | Recent advances in Alzheimer’s disease mechanisms clinical trials and new drug development strategies.pdf | alzheimer disease  2021.pdf,"B. NREM sleep

NREM sleep is critical for metabolite clearance from the brain, particularly during the glymphatic system's activity, which is enhanced during this sleep stage. This process is essential for the clearance of amyloid-beta and other waste products, as highlighted in ""Linking activity dyshomeostasis and sleep disturbances in Alzheimer disease"" (2024)."
5,9,What kind of volume change is associated with hearing loss in AD patients?,A. Increased brain volume | B. Decreased hippocampal volume | C. Increased white matter | D. Enlarged ventricles,B,Decreased hippocampal volume,B,True,0.7405,True,3.17,2023-oxidative-damage-in-neurodegeneration-roles-in-the-pathogenesis-and-progression-of-alzheimer-disease.pdf | 2024 Advancements and Challenges in Antiamyloid Therapy for.pdf | 2024 Cell type-specific roles of APOE4 in Alzheimer disease.pdf | 2024 Immune Activation in Alzheimer Disease.pdf | 2024 Linking activity dyshomeostasis and sleep disturbances in Alzheimer disease.pdf | 2024 Neuroinflammation in Alzheimer disease.pdf | 2025 Oligodendrocytes in Alzheimer’s disease pathophysiology.pdf | 2025 Updates on mouse models of Alzheimer’s disease.pdf | Recent advances in Alzheimer’s disease mechanisms clinical trials and new drug development strategies.pdf | alzheimer disease  2021.pdf,"B. Decreased hippocampal volume. 

Hearing loss in Alzheimer's disease patients is associated with decreased hippocampal volume, which reflects the broader neurodegenerative processes occurring in the disease. This relationship highlights the impact of auditory dysfunction on cognitive decline and hippocampal atrophy in AD patients (Alzheimer disease, 2021)."
5,10,The Mediterranean diet is primarily considered:,A. A treatment for AD | B. A preventive dietary strategy | C. A high-fat diet | D. A protein-reduction plan,B,A preventive dietary strategy,B,True,0.7357,True,3.26,2023-oxidative-damage-in-neurodegeneration-roles-in-the-pathogenesis-and-progression-of-alzheimer-disease.pdf | 2024 Advancements and Challenges in Antiamyloid Therapy for.pdf | 2024 Neuroinflammation in Alzheimer disease.pdf | Recent advances in Alzheimer’s disease mechanisms clinical trials and new drug development strategies.pdf | alzheimer disease  2021.pdf,"B. A preventive dietary strategy. The Mediterranean diet has been linked to a reduced risk of Alzheimer's disease (AD) and is considered a preventive approach to maintain good health and potentially optimize cognitive function (Oxidative damage in neurodegeneration: roles in the pathogenesis and progression of Alzheimer disease, 2023)."
